"Thursday, April 7, 2022"

1:05 pm Boston Red Sox @ New York Yankees

2:20 pm Milwaukee Brewers @ Chicago Cubs

4:05 pm New York Mets @ Washington Nationals

4:10 pm Cleveland Guardians @ Kansas City Royals

4:10 pm Seattle Mariners @ Minnesota Twins

4:15 pm Pittsburgh Pirates @ St. Louis Cardinals

8:08 pm Cincinnati Reds @ Atlanta Braves

9:38 pm Houston Astros @ Los Angeles Angels

9:40 pm San Diego Padres @ Arizona D'Backs

"Friday, April 8, 2022"

1:10 pm Chicago White Sox @ Detroit Tigers

2:20 pm Milwaukee Brewers @ Chicago Cubs

3:05 pm Oakland Athletics @ Philadelphia Phillies

3:10 pm Baltimore Orioles @ Tampa Bay Rays

4:10 pm Los Angeles Dodgers @ Colorado Rockies

4:35 pm Miami Marlins @ San Francisco Giants

7:05 pm New York Mets @ Washington Nationals

7:07 pm Texas Rangers @ Toronto Blue Jays

7:20 pm Cincinnati Reds @ Atlanta Braves

9:38 pm Houston Astros @ Los Angeles Angels

9:40 pm San Diego Padres @ Arizona D'Backs

"Saturday, April 9, 2022"

1:10 pm Chicago White Sox @ Detroit Tigers

1:10 pm Baltimore Orioles @ Tampa Bay Rays

2:10 pm Seattle Mariners @ Minnesota Twins

2:15 pm Pittsburgh Pirates @ St. Louis Cardinals

2:20 pm Milwaukee Brewers @ Chicago Cubs

3:07 pm Texas Rangers @ Toronto Blue Jays

4:05 pm Boston Red Sox @ New York Yankees

4:05 pm Oakland Athletics @ Philadelphia Phillies

4:05 pm Miami Marlins @ San Francisco Giants

4:10 pm Cleveland Guardians @ Kansas City Royals

7:05 pm New York Mets @ Washington Nationals

7:20 pm Cincinnati Reds @ Atlanta Braves

8:10 pm San Diego Padres @ Arizona D'Backs

8:10 pm Los Angeles Dodgers @ Colorado Rockies

9:07 pm Houston Astros @ Los Angeles Angels

"Sunday, April 10, 2022"

1:05 pm Oakland Athletics @ Philadelphia Phillies

1:10 pm Chicago White Sox @ Detroit Tigers

1:10 pm Baltimore Orioles @ Tampa Bay Rays

1:35 pm Cincinnati Reds @ Atlanta Braves

1:35 pm New York Mets @ Washington Nationals

1:37 pm Texas Rangers @ Toronto Blue Jays

2:10 pm Cleveland Guardians @ Kansas City Royals

2:10 pm Seattle Mariners @ Minnesota Twins

2:15 pm Pittsburgh Pirates @ St. Louis Cardinals

2:20 pm Milwaukee Brewers @ Chicago Cubs

3:10 pm Los Angeles Dodgers @ Colorado Rockies

4:05 pm Miami Marlins @ San Francisco Giants

4:07 pm Houston Astros @ Los Angeles Angels

4:10 pm San Diego Padres @ Arizona D'Backs

7:08 pm Boston Red Sox @ New York Yankees

"Monday, April 11, 2022"

2:10 pm Cleveland Guardians @ Kansas City Royals

2:15 pm Pittsburgh Pirates @ St. Louis Cardinals

3:05 pm Milwaukee Brewers @ Baltimore Orioles

4:05 pm Colorado Rockies @ Texas Rangers

5:10 pm Boston Red Sox @ Detroit Tigers

6:40 pm Oakland Athletics @ Tampa Bay Rays

6:45 pm New York Mets @ Philadelphia Phillies

7:05 pm Toronto Blue Jays @ New York Yankees

7:20 pm Washington Nationals @ Atlanta Braves

7:40 pm Seattle Mariners @ Minnesota Twins

9:38 pm Miami Marlins @ Los Angeles Angels

9:45 pm San Diego Padres @ San Francisco Giants

"Tuesday, April 12, 2022"

1:10 pm Boston Red Sox @ Detroit Tigers

4:10 pm Seattle Mariners @ Chicago White Sox

4:10 pm Cleveland Guardians @ Cincinnati Reds

4:12 pm Chicago Cubs @ Pittsburgh Pirates

6:40 pm Oakland Athletics @ Tampa Bay Rays

6:45 pm New York Mets @ Philadelphia Phillies

7:05 pm Milwaukee Brewers @ Baltimore Orioles

7:05 pm Toronto Blue Jays @ New York Yankees

7:07 pm Miami Marlins @ Los Angeles Angels

7:20 pm Washington Nationals @ Atlanta Braves

7:40 pm Los Angeles Dodgers @ Minnesota Twins

7:45 pm Kansas City Royals @ St. Louis Cardinals

8:05 pm Colorado Rockies @ Texas Rangers

9:40 pm Houston Astros @ Arizona D'Backs

9:45 pm San Diego Padres @ San Francisco Giants

"Wednesday, April 13, 2022"

12:20 pm Washington Nationals @ Atlanta Braves

12:35 pm Cleveland Guardians @ Cincinnati Reds

12:35 pm Chicago Cubs @ Pittsburgh Pirates

1:05 pm New York Mets @ Philadelphia Phillies

1:10 pm Boston Red Sox @ Detroit Tigers

1:10 pm Los Angeles Dodgers @ Minnesota Twins

1:15 pm Kansas City Royals @ St. Louis Cardinals

3:40 pm Houston Astros @ Arizona D'Backs

3:45 pm San Diego Padres @ San Francisco Giants

6:40 pm Oakland Athletics @ Tampa Bay Rays

7:05 pm Milwaukee Brewers @ Baltimore Orioles

7:05 pm Toronto Blue Jays @ New York Yankees

7:10 pm Seattle Mariners @ Chicago White Sox

"Thursday, April 14, 2022"

1:10 pm Oakland Athletics @ Tampa Bay Rays

2:10 pm Seattle Mariners @ Chicago White Sox

5:14 pm St. Louis Cardinals @ Milwaukee Brewers

6:35 pm Washington Nationals @ Pittsburgh Pirates

6:40 pm Philadelphia Phillies @ Miami Marlins

7:05 pm Toronto Blue Jays @ New York Yankees

8:05 pm Los Angeles Angels @ Texas Rangers

8:10 pm Detroit Tigers @ Kansas City Royals

8:10 pm Atlanta Braves @ San Diego Padres

8:40 pm Chicago Cubs @ Colorado Rockies

10:10 pm Cincinnati Reds @ Los Angeles Dodgers

"Friday, April 15, 2022"

1:10 pm Arizona D'Backs @ New York Mets

2:10 pm Minnesota Twins @ Boston Red Sox

6:35 pm Washington Nationals @ Pittsburgh Pirates

6:40 pm Philadelphia Phillies @ Miami Marlins

7:05 pm New York Yankees @ Baltimore Orioles

7:07 pm Oakland Athletics @ Toronto Blue Jays

7:10 pm Tampa Bay Rays @ Chicago White Sox

7:10 pm San Francisco Giants @ Cleveland Guardians

8:05 pm Los Angeles Angels @ Texas Rangers

8:10 pm Detroit Tigers @ Kansas City Royals

8:10 pm St. Louis Cardinals @ Milwaukee Brewers

8:40 pm Chicago Cubs @ Colorado Rockies

9:40 pm Atlanta Braves @ San Diego Padres

9:42 pm Houston Astros @ Seattle Mariners

10:10 pm Cincinnati Reds @ Los Angeles Dodgers

"Saturday, April 16, 2022"

1:10 pm Arizona D'Backs @ New York Mets

2:10 pm Tampa Bay Rays @ Chicago White Sox

3:07 pm Oakland Athletics @ Toronto Blue Jays

4:05 pm Atlanta Braves @ San Diego Padres

4:10 pm Minnesota Twins @ Boston Red Sox

4:10 pm Detroit Tigers @ Kansas City Royals

6:10 pm San Francisco Giants @ Cleveland Guardians

6:10 pm Philadelphia Phillies @ Miami Marlins

6:35 pm Washington Nationals @ Pittsburgh Pirates

7:05 pm New York Yankees @ Baltimore Orioles

7:05 pm Los Angeles Angels @ Texas Rangers

7:10 pm St. Louis Cardinals @ Milwaukee Brewers

8:10 pm Chicago Cubs @ Colorado Rockies

9:10 pm Houston Astros @ Seattle Mariners

10:10 pm Cincinnati Reds @ Los Angeles Dodgers

"Sunday, April 17, 2022"

1:05 pm New York Yankees @ Baltimore Orioles

1:35 pm Minnesota Twins @ Boston Red Sox

1:35 pm Washington Nationals @ Pittsburgh Pirates

1:37 pm Oakland Athletics @ Toronto Blue Jays

1:40 pm San Francisco Giants @ Cleveland Guardians

1:40 pm Philadelphia Phillies @ Miami Marlins

1:40 pm Arizona D'Backs @ New York Mets

2:10 pm Tampa Bay Rays @ Chicago White Sox

2:10 pm Detroit Tigers @ Kansas City Royals

2:10 pm St. Louis Cardinals @ Milwaukee Brewers

2:35 pm Los Angeles Angels @ Texas Rangers

3:10 pm Chicago Cubs @ Colorado Rockies

4:10 pm Cincinnati Reds @ Los Angeles Dodgers

4:10 pm Houston Astros @ Seattle Mariners

7:08 pm Atlanta Braves @ San Diego Padres

"Monday, April 18, 2022"

11:10 am Minnesota Twins @ Boston Red Sox

6:10 pm Chicago White Sox @ Cleveland Guardians

7:05 pm Arizona D'Backs @ Washington Nationals

7:10 pm San Francisco Giants @ New York Mets

7:40 pm Tampa Bay Rays @ Chicago Cubs

7:40 pm Pittsburgh Pirates @ Milwaukee Brewers

8:10 pm Los Angeles Angels @ Houston Astros

8:40 pm Philadelphia Phillies @ Colorado Rockies

9:40 pm Baltimore Orioles @ Oakland Athletics

9:40 pm Cincinnati Reds @ San Diego Padres

10:10 pm Atlanta Braves @ Los Angeles Dodgers

"Tuesday, April 19, 2022"

6:10 pm Chicago White Sox @ Cleveland Guardians

6:40 pm New York Yankees @ Detroit Tigers

6:40 pm St. Louis Cardinals @ Miami Marlins

7:05 pm Arizona D'Backs @ Washington Nationals

7:10 pm Toronto Blue Jays @ Boston Red Sox

7:10 pm San Francisco Giants @ New York Mets

7:40 pm Tampa Bay Rays @ Chicago Cubs

7:40 pm Pittsburgh Pirates @ Milwaukee Brewers

8:10 pm Los Angeles Angels @ Houston Astros

8:10 pm Minnesota Twins @ Kansas City Royals

8:40 pm Philadelphia Phillies @ Colorado Rockies

9:40 pm Baltimore Orioles @ Oakland Athletics

9:40 pm Cincinnati Reds @ San Diego Padres

9:40 pm Texas Rangers @ Seattle Mariners

