week,date,time,visitor,home,location
1,Sat Aug 28,12:00 PM,TX El Paso,N Mex State,Aggie Memorial Stadium
1,Sat Aug 28,12:00 PM,Connecticut,Fresno St,Bulldog Stadium
1,Sat Aug 28,12:00 PM,S Utah,San Jose St,CEFCU Stadium
1,Sat Aug 28,1:00 PM,Nebraska,Illinois,Memorial Stadium
1,Sat Aug 28,3:30 PM,Hawaii,UCLA,Rose Bowl
1,Wed Sep 1,7:30 PM,UAB,Jacksonville State,Cramton Bowl
1,Thu Sep 2,12:00 PM,E Washingtn,UNLV,Allegiant Stadium
1,Thu Sep 2,12:00 PM,Weber State,Utah,Rice-Eccles Stadium
1,Thu Sep 2,6:30 PM,Temple,Rutgers,SHI Stadium
1,Thu Sep 2,7:00 PM,The Citadel,Coastal Car,Brooks Stadium
1,Thu Sep 2,7:00 PM,Wagner,Buffalo,UB Stadium
1,Thu Sep 2,7:00 PM,W Illinois,Ball State,Scheumann Stadium
1,Thu Sep 2,7:00 PM,Boise State,Central FL,Bounce House
1,Thu Sep 2,7:00 PM,LIU,Florida Intl,Riccardo Silva Stadium
1,Thu Sep 2,7:00 PM,Houston Baptist,New Mexico,Dreamstyle Stadium
1,Thu Sep 2,7:30 PM,S Florida,NC State,Carter-Finley Stadium
1,Thu Sep 2,7:30 PM,UC Davis,Tulsa,Skelly Field at H.A. Chapman Stadium
1,Thu Sep 2,7:30 PM,E Carolina,App State,Bank of America Stadium
1,Thu Sep 2,8:00 PM,Ohio State,Minnesota,TCF Bank Stadium
1,Thu Sep 2,8:00 PM,TN Martin,W Kentucky,Houchens Industries-L.T. Smith Stadium
1,Thu Sep 2,8:00 PM,Bowling Grn,Tennessee,Neyland Stadium
1,Thu Sep 2,10:30 PM,S Utah,Arizona St,Sun Devil Stadium
1,Fri Sep 3,6:00 PM,N Carolina,VA Tech,Lane Stadium
1,Fri Sep 3,7:00 PM,St. Francis,E Michigan,Rynearson Stadium
1,Fri Sep 3,7:00 PM,Old Dominion,Wake Forest,Truist Field
1,Fri Sep 3,7:00 PM,Duke,Charlotte,Jerry Richardson Stadium
1,Fri Sep 3,8:00 PM,South Dakota,Kansas,David Booth Kansas Memorial Stadium
1,Fri Sep 3,9:00 PM,Michigan St,Northwestern,Ryan Field
1,Fri Sep 3,9:00 PM,N Colorado,Colorado,Folsom Field
