"stadium","lat","long"
"Clarence T.C. Ching Athletics Complex",21.2942909,-157.817120894066
"Navy-Marine Corps Memorial Stadium",38.9847567,-76.5070764882947
"Michie Stadium",41.3875623,-73.9641897062172
"InfoCision Stadium-Summa Field",NA,NA
"Doyt L. Perry Stadium",41.3780256,-83.6224975167197
"Glass Bowl",41.6571615,-83.6135958988805
"Scheumann Stadium",40.21600715,-85.416825430924
"Raymond James Stadium",27.97597925,-82.5042179967362
"TDECU Stadium",29.72192555,-95.3482760371716
"Jones AT&T Stadium",33.5910406,-101.872990772943
"Amon G. Carter Stadium",32.70978705,-97.3681800085228
"Peden Stadium",39.3210671,-82.103014061653
"Kelly/Shorts Stadium",43.57762285,-84.7710513914543
"Center Parc Credit Union Stadium",33.7355267,-84.3886513344851
"Allegiant Stadium",36.09083455,-115.182477977026
"Bulldog Stadium",36.81439585,-119.758038310367
"Jonah Field at War Memorial Stadium",41.31173415,-105.568186086337
"Gesa Field",46.7318286,-117.1604394
"Reser Stadium",44.5594764,-123.281125620949
"Rose Bowl",50.9240145,-1.32330286937591
"California Memorial Stadium",37.8709949,-122.250736050724
"Malone Stadium",32.53089925,-92.0660395812134
"David Booth Kansas Memorial Stadium",38.96301315,-95.2464029413784
"Jack Trice Stadium",42.01384885,-93.6349669828549
"Ross-Ade Stadium",40.4344107,-86.9177090029281
"Protective Stadium",33.52768755,-86.8091566843361
"Joe Aillet Stadium",32.5321211,-92.6559763251446
"Riccardo Silva Stadium",25.7524884,-80.3778903338409
"Vanderbilt Stadium",36.1439196,-86.8089205125763
"Kyle Field",30.6098548,-96.3403697583008
"Vaught-Hemingway Stadium",34.3617801,-89.5343515187514
"Donald W. Reynolds Razorback Stadium",36.0680732,-94.178851187667
"Bryant-Denny Stadium",33.2076889,-87.5504399130311
"Apogee Stadium",33.2039363,-97.1600466338925
"Doak Campbell Stadium",30.438151,-84.3043923955984
"Cardinal Stadium",38.20601615,-85.7587733804142
"Michigan Stadium",42.2658652,-83.7486837676405
"TCF Bank Stadium",44.97653965,-93.2231906824895
"Memorial Stadium",40.09931775,-88.2367555138292
"Beaver Stadium",40.81207425,-77.8549431254631
"Lane Stadium",37.21989015,-80.4180038590751
"Scott Stadium",38.03090465,-78.5136051695366
"Heinz Field",40.44671645,-80.0157549334943
"Hard Rock Stadium",25.95790315,-80.2388497396752
"Rentschler Field at Pratt & Whitney Stadium",NA,NA
"Falcon Stadium",38.99705645,-104.843649920629
"Notre Dame Stadium",41.69842305,-86.2339582320651
"Dowdy-Ficklen Stadium",35.5965698,-77.3650684060566
"Brooks Stadium",33.7929764,-79.0174820048557
"Skelly Field at H.A. Chapman Stadium",NA,NA
"Mackay Stadium",39.5468915,-119.817397980092
"UB Stadium",42.99905865,-78.7774413051391
"Kidd Brewer Stadium",36.2115929,-81.6854365823704
"Yulman Stadium",29.94465095,-90.116051086883
"Lincoln Financial Field",39.9009099,-75.167489156059
"Mountaineer Field at Milan Puskar Stadium",39.6502016,-79.95506485
"Boone Pickens Stadium",36.1256929,-97.0668698432096
"Gaylord Family-Oklahoma Memorial Stadium",35.2056786,-97.441540475
"Bill Snyder Family Football Stadium",NA,NA
"McLane Stadium",31.5584194,-97.1148166668434
"Hancock Whitney Stadium",30.6969286,-88.1919593181634
"Allen E. Paulson Stadium",32.4121444,-81.7833368417609
"Cajun Field",30.21587275,-92.0417359634715
"CEFCU Stadium",37.31969865,-121.868396916566
